weight,factor,flipped,pct,patients
EFFICACY_WEIGHT,0.5,0,0.0,
EFFICACY_WEIGHT,0.75,0,0.0,
EFFICACY_WEIGHT,1.25,0,0.0,
EFFICACY_WEIGHT,1.5,0,0.0,
EFFICACY_WEIGHT,2.0,0,0.0,
TOXICITY_WEIGHT,0.5,1,5.9,HIV-SY-008
TOXICITY_WEIGHT,0.75,0,0.0,
TOXICITY_WEIGHT,1.25,0,0.0,
TOXICITY_WEIGHT,1.5,0,0.0,
TOXICITY_WEIGHT,2.0,2,11.8,HIV-SY-001;HIV-SY-009
SIDE_EFFECT_BURDEN_WEIGHT,0.5,0,0.0,
SIDE_EFFECT_BURDEN_WEIGHT,0.75,0,0.0,
SIDE_EFFECT_BURDEN_WEIGHT,1.25,0,0.0,
SIDE_EFFECT_BURDEN_WEIGHT,1.5,3,17.6,HIV-SY-002;HIV-SY-008;HIV-SY-009
SIDE_EFFECT_BURDEN_WEIGHT,2.0,10,58.8,HIV-SY-002;HIV-SY-004;HIV-SY-005;HIV-SY-006;HIV-SY-008;HIV-SY-009;HIV-SY-014;HIV-SY-015;R-THIRD-HIV-001;R-SECOND-HIV-002
GUIDELINE_COMPLIANCE_BONUS,0.5,0,0.0,
GUIDELINE_COMPLIANCE_BONUS,0.75,0,0.0,
GUIDELINE_COMPLIANCE_BONUS,1.25,0,0.0,
GUIDELINE_COMPLIANCE_BONUS,1.5,0,0.0,
GUIDELINE_COMPLIANCE_BONUS,2.0,0,0.0,
COST_WEIGHT_MULTIPLIER,0.5,7,41.2,HIV-SY-001;HIV-SY-002;HIV-SY-004;HIV-SY-006;HIV-SY-009;HIV-SY-014;HIV-SY-015
COST_WEIGHT_MULTIPLIER,0.75,2,11.8,HIV-SY-002;HIV-SY-009
COST_WEIGHT_MULTIPLIER,1.25,0,0.0,
COST_WEIGHT_MULTIPLIER,1.5,0,0.0,
COST_WEIGHT_MULTIPLIER,2.0,0,0.0,
